rank,gene,score
1,CD86,0.8073204755783081
2,PIK3R5,0.7577214539051056
3,TMEM156,0.7206196188926697
4,AGTR1,0.7198529243469238
5,ST8SIA4,0.7120728492736816
6,KYNU,0.7023630241552988
7,RGS1,0.6941176652908325
8,STAB1,0.6935185194015503
9,ARHGAP28,0.6896929740905762
10,LCP2,0.6758639216423035
11,POLQ,0.669926643371582
12,TNFRSF11B,0.6670854091644287
13,ITGA4,0.6664039293924967
14,ANKRD18A,0.6628147959709167
15,MS4A4E,0.6623284816741943
16,CSF3R,0.6573886871337891
17,TGFBI,0.6533182064692179
18,MSR1,0.6468326091766358
19,BLNK,0.6465900242328644
20,IKZF1,0.644911527633667
21,RASGEF1C,0.6429924368858337
22,CD163,0.6402877569198608
23,OPALIN,0.6389138698577881
24,ENPP6,0.6374252637227377
25,MX2,0.6372630298137665
26,ITGA2,0.6274224718411764
27,IGSF21,0.6231642365455627
28,IRF8,0.6217167576154073
29,GCNT2,0.6188300549983978
30,FPR3,0.6088274717330933
31,RGS10,0.6066176891326904
32,ANKRD22,0.6056970755259196
33,KCNB2,0.5965929428736368
34,CCL3,0.5946713089942932
35,DEPDC1B,0.5930059552192688
36,PPARG,0.5878793478012085
37,PLA2G7,0.5871902287006379
38,CD84,0.585365891456604
39,GALNT14,0.5747686823209127
40,CHST8,0.5463804432324001
41,GPAT3,0.5441891252994537
42,MBOAT1,0.5425925850868225
43,GPNMB,0.5403893730219673
44,MS4A4A,0.5330578684806824
45,SIGLEC1,0.5286078254381815
46,CENPF,0.5271307528018951
47,CCL4,0.5201009660959244
48,MARCO,0.5134891867637634
49,KLHL6,0.5102213770151138
50,CLEC5A,0.49919899304707843
51,HAMP,0.48714953660964966
52,ST6GALNAC5,0.47231149176756543
53,IL1B,0.45516306161880493
54,ITGAX,0.4532710313796997
55,CD69,0.44255781173706055
56,PLA2G4A,0.4235537052154541
57,APBB1IP,0.40474591255187986
58,SERPINE1,0.39852234721183777
59,SPOCD1,0.3865298330783844
60,NOX4,0.3808441758155823
61,F13A1,0.3662700653076172
62,SYT6,0.3434579372406006
63,LRP2,0.3153734505176544
64,OTULINL,0.24776458740234375
65,CA10,0.24106013774871826
66,OLR1,0.2384122908115387
67,CX3CR1,0.22712570145016625
68,IRAK3,0.22330942749977112
69,RHBDF2,0.2186863049864769
70,SLCO2B1,0.20678450663884484
71,CR1,0.20297740399837494
72,CLEC7A,0.2014387547969818
73,PDGFD,0.1985153630375862
74,MAFB,0.19785859187444055
75,ZSCAN31,0.18636926015218103
76,ZNF804A,0.18112030625343323
77,SEMA3C,0.17800647020339966
78,PIK3AP1,0.17682697375615442
79,PRKCH,0.17659604669821383
80,LRRC63,0.1746930480003357
81,IL18,0.17410671710968018
82,CNBD1,0.1728985756635666
83,SLC8A3,0.17282528430223465
84,NR4A3,0.17105568349361422
85,CPA6,0.1692866086959839
86,SLC11A1,0.16708055138587952
87,GABRB2,0.16663820942242946
88,TNFRSF1B,0.1647842526435852
89,ADAM28,0.1636866331100464
90,COL25A1,0.16168745855490368
