cell_index,leiden
0,1
1,1
2,0
3,1
4,5
5,2
6,1
7,0
8,0
9,0
10,0
11,2
12,1
13,1
14,1
15,0
16,1
17,1
18,0
19,0
20,1
21,0
22,1
23,1
24,1
25,2
26,1
27,0
28,0
29,4
30,1
31,4
32,4
33,4
34,1
35,2
36,0
37,0
38,5
39,1
40,1
41,0
42,0
43,1
44,4
45,0
46,1
47,0
48,1
49,1
50,1
51,0
52,3
53,2
54,1
55,1
56,0
57,0
58,0
59,1
60,2
61,1
62,1
63,2
64,1
65,1
66,0
67,0
68,0
69,1
70,0
71,1
72,1
73,0
74,1
75,4
76,1
77,0
78,0
79,1
80,1
81,2
82,1
83,0
84,1
85,0
86,0
87,0
88,2
89,0
90,1
91,1
92,0
93,1
94,0
95,0
96,0
97,4
98,1
99,1
100,1
101,1
102,0
103,0
104,0
105,2
106,0
107,1
108,4
109,0
110,0
111,1
112,2
113,4
114,4
115,0
116,1
117,1
118,1
119,0
120,1
121,0
122,0
123,0
124,2
125,0
126,5
127,4
128,0
129,2
130,1
131,0
132,0
133,4
134,1
135,4
136,1
137,1
138,1
139,0
140,0
141,0
142,2
143,0
144,0
145,0
146,0
147,1
148,0
149,0
150,2
151,1
152,0
153,1
154,0
155,1
156,1
157,1
158,1
159,0
160,2
161,1
162,2
163,2
164,2
165,2
166,0
167,1
168,1
169,0
170,1
171,1
172,1
173,0
174,4
175,0
176,2
177,1
178,0
179,0
180,1
181,4
182,0
183,0
184,0
185,1
186,0
187,1
188,2
189,1
190,0
191,1
192,4
193,2
194,1
195,1
196,1
197,5
198,0
199,2
200,1
201,1
202,2
203,0
204,1
205,1
206,4
207,2
208,1
209,1
210,0
211,2
212,1
213,1
214,1
215,2
216,5
217,5
218,4
219,2
220,0
221,0
222,0
223,1
224,1
225,1
226,1
227,0
228,2
229,1
230,0
231,4
232,1
233,0
234,1
235,1
236,0
237,1
238,0
239,2
240,1
241,0
242,1
243,1
244,1
245,0
246,1
247,1
248,0
249,2
250,1
251,1
252,2
253,0
254,2
255,4
256,1
257,2
258,1
259,2
260,1
261,0
262,4
263,0
264,1
265,1
266,0
267,0
268,1
269,0
270,0
271,2
272,1
273,1
274,1
275,0
276,4
277,1
278,0
279,2
280,0
281,1
282,0
283,2
284,0
285,1
286,5
287,0
288,1
289,1
290,1
291,1
292,1
293,0
294,2
295,0
296,0
297,0
298,1
299,0
300,2
301,1
302,2
303,1
304,2
305,2
306,0
307,1
308,0
309,5
310,1
311,1
312,0
313,2
314,0
315,0
316,2
317,0
318,0
319,1
320,2
321,0
322,1
323,1
324,1
325,0
326,1
327,1
328,0
329,4
330,4
331,0
332,4
333,1
334,1
335,1
336,0
337,0
338,1
339,1
340,0
341,0
342,1
343,1
344,4
345,1
346,0
347,0
348,4
349,2
350,1
351,0
352,1
353,2
354,2
355,2
356,1
357,2
358,0
359,2
360,1
361,1
362,1
363,0
364,1
365,1
366,1
367,0
368,0
369,0
370,0
371,1
372,0
373,1
374,0
375,4
376,1
377,0
378,5
379,0
380,1
381,1
382,0
383,4
384,0
385,1
386,0
387,1
388,0
389,3
390,1
391,1
392,0
393,0
394,1
395,1
396,0
397,1
398,0
399,1
400,1
401,0
402,0
403,5
404,2
405,2
406,0
407,1
408,0
409,0
410,1
411,1
412,0
413,2
414,1
415,0
416,2
417,1
418,0
419,0
420,2
421,1
422,1
423,0
424,1
425,0
426,3
427,0
428,0
429,0
430,2
431,4
432,4
433,2
434,0
435,1
436,4
437,2
438,5
439,0
440,1
441,2
442,1
443,1
444,0
445,5
446,4
447,1
448,1
449,1
450,1
451,0
452,0
453,2
454,0
455,0
456,4
457,1
458,1
459,0
460,0
461,0
462,0
463,1
464,2
465,1
466,0
467,4
468,1
469,5
470,1
471,1
472,2
473,2
474,1
475,1
476,4
477,0
478,1
479,4
480,2
481,0
482,2
483,0
484,1
485,1
486,0
487,2
488,1
489,4
490,0
491,0
492,0
493,2
494,1
495,2
496,1
497,1
498,0
499,3
500,1
501,0
502,2
503,2
504,0
505,0
506,0
507,2
508,1
509,0
510,0
511,0
512,2
513,1
514,0
515,0
516,1
517,0
518,1
519,1
520,2
521,1
522,0
523,1
524,1
525,0
526,1
527,0
528,1
529,0
530,1
531,0
532,1
533,4
534,1
535,0
536,0
537,0
538,0
539,0
540,0
541,2
542,1
543,1
544,1
545,1
546,2
547,1
548,0
549,0
550,1
551,1
552,1
553,1
554,1
555,0
556,4
557,1
558,0
559,1
560,1
561,1
562,0
563,1
564,1
565,1
566,1
567,0
568,1
569,1
570,4
571,3
572,0
573,1
574,0
575,2
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,4
587,0
588,0
589,0
590,0
591,4
592,2
593,0
594,0
595,0
596,1
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,4
607,0
608,0
609,0
610,0
611,0
612,1
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,1
621,0
622,1
623,0
624,0
625,2
626,2
627,0
628,0
629,0
630,1
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,4
639,1
640,2
641,4
642,0
643,0
644,0
645,0
646,0
647,1
648,2
649,0
650,0
651,0
652,0
653,2
654,2
655,2
656,0
657,1
658,1
659,0
660,0
661,0
662,0
663,1
664,1
665,1
666,2
667,0
668,2
669,0
670,2
671,2
672,2
673,2
674,0
675,2
676,0
677,2
678,2
679,2
680,2
681,2
682,2
683,3
684,2
685,2
686,2
687,2
688,2
689,2
690,1
691,2
692,2
693,2
694,2
695,2
696,2
697,3
698,2
699,0
700,2
701,2
702,2
703,2
704,2
705,2
706,2
707,0
708,2
709,2
710,2
711,4
712,2
713,2
714,0
715,4
716,2
717,1
718,0
719,2
720,2
721,2
722,2
723,4
724,1
725,0
726,2
727,2
728,1
729,2
730,2
731,2
732,2
733,2
734,2
735,2
736,4
737,2
738,2
739,2
740,2
741,1
742,2
743,0
744,0
745,2
746,0
747,2
748,0
749,2
750,2
751,2
752,2
753,2
754,2
755,2
756,2
757,2
758,2
759,2
760,2
761,2
762,2
763,2
764,4
765,2
766,2
767,2
768,2
769,2
770,2
771,2
772,3
773,2
774,2
775,0
776,2
777,2
778,2
779,2
780,2
781,2
782,2
783,2
784,2
785,2
786,2
787,2
788,2
789,2
790,2
791,2
792,3
793,2
794,2
795,2
796,2
797,2
798,2
799,2
800,2
801,2
802,2
803,2
804,2
805,2
806,2
807,0
808,2
809,2
810,2
811,2
