rank,gene,score
1,NR4A3,0.11339496284699524
2,PLA2G4A,0.10517887607145537
3,CR1,0.08433137080489361
4,CEBPD,0.08084167766336325
5,ITGA4,0.07093656123286551
6,MX2,0.06183600999218852
7,GFRA1,0.060933104684137374
8,ANKRD22,0.060125607252121016
9,CD69,0.05927937328815458
10,ST8SIA4,0.057545916125344654
11,CD163,0.05680957895058847
12,MS4A4E,0.05556806921958923
13,OLR1,0.051877456213775486
14,ID2,0.05049601655548025
15,CSF3R,0.04876103980102764
16,TUBB2B,0.04797939532302509
17,CD86,0.04737835317850103
18,ADM,0.04421932559320546
19,ANGPTL4,0.04362142463980362
20,HES1,0.04333803732180119
21,ID3,0.04325787798881209
22,IFI44L,0.04185490244865975
23,F13A1,0.04146064889555612
24,CMKLR1,0.040449798429334494
25,HSP90AA1,0.0387091549956316
26,EPSTI1,0.0385000262520101
27,KYNU,0.038131597740896805
28,MT1M,0.03813076079723998
29,CPA6,0.03797067073199267
30,ABCA9,0.037877190518541326
