rank,gene,score
1,SYTL3,0.7564516663551331
2,GPR39,0.7489495873451233
3,DNAH7,0.7433273792266846
4,TNFAIP8,0.7289326190948486
5,GALNT14,0.7038690447807312
6,HCK,0.6973243951797485
7,CH25H,0.6938406229019165
8,CCL4,0.6835259795188904
9,RBM47,0.6755096316337585
10,PDGFC,0.673076868057251
11,COL24A1,0.6712962985038757
12,LYZ,0.6701613068580627
13,KCNK13,0.6694139242172241
14,POU2F2,0.6685376465320587
15,GPAT3,0.6679562528928121
16,GRAMD1C,0.6572299599647522
17,COL5A3,0.6571343839168549
18,CPVL,0.6564009785652161
19,VIM,0.653333306312561
20,HS3ST2,0.6533251404762268
21,TMC1,0.6518126726150513
22,CYP4F12,0.6505555510520935
23,CA10,0.650073766708374
24,TRDN,0.6492688953876495
25,UNC5D,0.6452802419662476
26,FLT1,0.643427848815918
27,EFNA5,0.6427321135997772
28,CD44,0.6416666507720947
29,BMPR1B,0.6362704634666443
30,CARMIL1,0.6272727251052856
31,MT1G,0.6265743374824524
32,EGF,0.6241639256477356
33,ABI3BP,0.6237157583236694
34,KYNU,0.6231673061847687
35,CD163,0.6226744055747986
36,RORB,0.6198770403862
37,MBOAT1,0.6150000095367432
38,ARHGAP28,0.6142946481704712
39,GNA14,0.6092482209205627
40,IL1B,0.6045751571655273
41,IL18,0.602739691734314
42,EYA1,0.5990437269210815
43,PLCE1,0.5977573990821838
44,CFAP54,0.5953236818313599
45,SPAG17,0.59375
46,TGFB2,0.5929003357887268
47,MRC1,0.5916666984558105
48,TOGARAM2,0.5884562730789185
49,CRISPLD1,0.5874999761581421
50,LPAR6,0.5861780643463135
51,CHST9,0.5810483694076538
52,SIGLEC1,0.5795454382896423
53,TNFAIP3,0.5792989134788513
54,TPRG1,0.5726003845532736
55,CA12,0.5709978342056274
56,PPARGC1A,0.56316938996315
57,CD84,0.5599759668111801
58,FRMPD2,0.5584765275319418
59,DEPDC1B,0.5551861524581909
60,CACNA1C,0.5530822277069092
61,GPNMB,0.5510302384694418
62,ADAMTS18,0.5502873659133911
63,TFEC,0.5492671132087708
64,TNFRSF11B,0.5480682104825974
65,CDH23,0.5422566413879395
66,P2RY12,0.541154702504476
67,PLXNA2,0.5386513471603394
68,MND1,0.5379444062709808
69,LGR6,0.5378113985061646
70,RHBDF2,0.5351941585540771
71,CNBD1,0.5315040349960327
72,TYK2,0.5313414186239243
73,SEMA3D,0.5292763113975525
74,TGFBI,0.5281100273132324
75,ANKFN1,0.5266393423080444
76,PRELID2,0.5258408809701601
77,ALDH1A2,0.5233397483825684
78,ZNF98,0.5228426456451416
79,ITGBL1,0.5211975276470184
80,RCSD1,0.519520084063212
81,NOX4,0.5182119011878967
82,ADCY8,0.5165012776851654
83,BMPER,0.5112205346425375
84,LRAT,0.5099122673273087
85,ARHGAP42,0.5089027136564255
86,IGFBP5,0.5071685314178467
87,CACHD1,0.5061773061752319
88,YAP1,0.499658465385437
89,CLEC5A,0.49293094873428345
90,CD86,0.49282856782277423
91,CALCRL,0.4892723023891449
92,KCNE4,0.48646052678426105
93,CPA6,0.4860197603702545
94,KCNE1,0.48458901047706604
95,MYOF,0.47724737723668414
96,ZIC1,0.4678122003873189
97,ITGAX,0.4645833373069763
98,SDC4,0.4644808769226074
99,PDE3A,0.4643719792366028
100,SYT6,0.4627789954344432
101,SCN1A,0.444129741191864
102,OLR1,0.439039409160614
103,SUGCT,0.42928968369960785
104,FGD2,0.4164377450942993
105,PIK3R5,0.4158163070678711
106,CMKLR1,0.40937501192092896
107,MX2,0.40740740299224854
108,EGFR,0.4037456661462784
109,LMNTD1,0.3887711763381958
110,ROR1,0.3879869878292084
111,PRKCH,0.38733553886413574
112,CCL3,0.3767985701560974
113,CX3CR1,0.3388044387102127
114,ADGRG6,0.33728447556495667
115,ADAMTS12,0.32258063554763794
116,HCLS1,0.3056562542915344
117,KLHL6,0.30342739820480347
118,CHI3L1,0.3013445933659872
119,FAM149A,0.2870139479637146
120,MYO1F,0.2826578617095947
121,GULP1,0.2805754244327545
122,TM6SF1,0.27498458325862885
123,SNCAIP,0.27356865257024765
124,C1QC,0.2716648280620575
125,MEIS2,0.2698097260934966
126,ABCC3,0.2688356041908264
127,CHODL,0.2637285888195038
128,AGMO,0.2569137439131737
129,C1QB,0.25601814687252045
130,SLC24A3,0.2542005181312561
131,IGFBP7,0.2504804730415344
132,FBXO32,0.2456117868423462
133,PTPRZ1,0.24392346094051992
134,EPB41L4A,0.23767250776290894
135,CD74,0.23610214591026307
136,STK33,0.23547590151429176
137,GPR183,0.2318202058474223
138,CD69,0.22913118203481037
139,CACNB2,0.22258752584457397
140,CD14,0.21964412927627563
141,CNDP1,0.2154248058795929
142,DOCK8,0.20770615339279175
143,PLAC8,0.20675039291381836
144,ST18,0.20489154011011124
145,DACH1,0.2028769850730896
146,FOS,0.2011767745018005
147,SP100,0.199982096751531
148,PDZRN4,0.1993560642004013
149,SGCZ,0.19642750422159827
150,NTNG1,0.19608184695243835
151,NKAIN2,0.19525743275880814
152,EYA2,0.19337590038776398
153,IKZF1,0.19325655698776245
154,ARHGAP15,0.1929912567138672
155,APBB1IP,0.19007021933794022
156,ELOVL7,0.18698998540639877
157,LRCH1,0.1862235926091671
158,ABCA9,0.1850084364414215
159,PTPRT,0.18480061491330468
160,HPGDS,0.1814728776613871
161,A2M,0.18074351549148554
162,CPED1,0.17810871203740436
163,LAMA4,0.177215576171875
164,MDGA2,0.1759958267211914
165,SLC7A11,0.17486292123794556
166,CCDC148,0.1730780154466629
167,SELENOP,0.1725586771965027
168,HIF3A,0.17084625363349915
169,TNC,0.16840168833732605
170,ADAM28,0.1667010337114334
171,PPP1R3C,0.16582125425338745
172,CNTNAP3B,0.1633894145488739
