cell_index,leiden
0,2
1,2
2,4
3,2
4,1
5,0
6,1
7,4
8,3
9,2
10,0
11,2
12,5
13,1
14,0
15,4
16,3
17,3
18,0
19,1
20,2
21,2
22,0
23,2
24,2
25,5
26,2
27,1
28,0
29,1
30,1
31,1
32,4
33,3
34,1
35,1
36,1
37,1
38,2
39,0
40,1
41,0
42,0
43,1
44,2
45,0
46,4
47,0
48,1
49,0
50,3
51,2
52,2
53,2
54,1
55,1
56,0
57,1
58,1
59,1
60,3
61,4
62,1
63,1
64,1
65,1
66,1
67,1
68,2
69,1
70,1
71,2
72,3
73,2
74,0
75,2
76,1
77,2
78,1
79,2
80,3
81,1
82,3
83,3
84,0
85,1
86,1
87,3
88,1
89,0
90,0
91,2
92,1
93,2
94,1
95,3
96,1
97,1
98,2
99,2
100,2
101,1
102,0
103,2
104,2
105,2
106,2
107,0
108,1
109,1
110,0
111,3
112,0
113,1
114,2
115,1
116,1
117,1
118,2
119,1
120,2
121,1
122,2
123,0
124,2
125,5
126,2
127,2
128,1
129,1
130,2
131,0
132,3
133,2
134,1
135,2
136,2
137,2
138,2
139,3
140,3
141,2
142,0
143,2
144,0
145,0
146,2
147,2
148,2
149,0
150,1
151,0
152,2
153,1
154,3
155,1
156,1
157,2
158,2
159,0
160,1
161,1
162,0
163,3
164,0
165,0
166,1
167,0
168,0
169,2
170,2
171,1
172,1
173,2
174,1
175,2
176,2
177,3
178,0
179,0
180,0
181,2
182,2
183,0
184,1
185,2
186,2
187,2
188,0
189,3
190,2
191,4
192,3
193,3
194,2
195,2
196,0
197,0
198,0
199,0
200,1
201,2
202,1
203,0
204,1
205,2
206,0
207,0
208,3
209,1
210,2
211,2
212,0
213,1
214,0
215,0
216,1
217,1
218,3
219,0
220,0
221,0
222,2
223,2
224,2
225,1
226,1
227,3
228,1
229,2
230,0
231,2
232,2
233,2
234,2
235,1
236,0
237,3
238,2
239,1
240,2
241,0
242,2
243,2
244,3
245,1
246,2
247,2
248,0
249,1
250,0
251,0
252,2
253,2
254,1
255,2
256,3
257,0
258,3
259,2
260,1
261,2
262,3
263,0
264,0
265,3
266,1
267,3
268,1
269,2
270,2
271,1
272,4
273,3
274,0
275,3
276,3
277,1
278,0
279,1
280,2
281,0
282,2
283,3
284,1
285,2
286,0
287,1
288,2
289,0
290,1
291,2
292,2
293,2
294,1
295,2
296,4
297,3
298,0
299,1
300,1
301,1
302,0
303,0
304,2
305,3
306,2
307,2
308,2
309,1
310,1
311,3
312,1
313,0
314,2
315,0
316,2
317,1
318,2
319,2
320,4
321,3
322,1
323,1
324,1
325,1
326,1
327,3
328,1
329,0
330,3
331,2
332,0
333,0
334,4
335,0
336,0
337,0
338,0
339,0
340,1
341,1
342,2
343,0
344,0
345,2
346,3
347,1
348,2
349,2
350,2
351,1
352,0
353,2
354,2
355,2
356,1
357,3
358,0
359,3
360,1
361,0
362,1
363,0
364,3
365,2
366,0
367,0
368,1
369,0
370,2
371,2
372,1
373,2
374,1
375,0
376,2
377,4
378,2
379,0
380,2
381,2
382,5
383,3
384,1
385,1
386,2
387,2
388,2
389,2
390,0
391,1
392,3
393,2
394,1
395,3
396,1
397,0
398,2
399,0
400,3
401,1
402,1
403,0
404,2
405,3
406,3
407,3
408,0
409,2
410,0
411,0
412,1
413,1
414,2
415,0
416,0
417,1
418,2
419,2
420,3
421,1
422,1
423,2
424,2
425,1
426,2
427,1
428,2
429,0
430,4
431,1
432,0
433,0
434,2
435,0
436,1
437,0
438,0
439,1
440,3
441,0
442,3
443,2
444,2
445,1
446,2
447,0
448,0
449,2
450,0
451,2
452,0
453,2
454,2
455,3
456,1
457,2
458,2
459,3
460,1
461,0
462,3
463,0
464,0
465,1
466,1
467,2
468,1
469,0
470,0
471,0
472,1
473,2
474,1
475,0
476,2
477,2
478,2
479,2
480,1
481,0
482,1
483,0
484,1
485,2
486,2
487,2
488,1
489,0
490,3
491,1
492,2
493,1
494,2
495,1
496,2
497,3
498,3
499,3
500,3
501,0
502,3
503,0
504,0
505,2
506,0
507,1
508,2
509,2
510,0
511,2
512,2
513,0
514,2
515,2
516,0
517,1
518,0
519,1
520,3
521,2
522,1
523,1
524,1
525,0
526,1
527,3
528,0
529,0
530,0
531,0
532,1
533,2
534,3
535,1
536,0
537,1
538,0
539,3
540,0
541,2
542,2
543,3
544,1
545,1
