rank,gene,score
1,CYP4F12,0.4952408969402313
2,CD69,0.18432589744528138
3,CCL4,0.15931783616542816
4,IL1B,0.10629720579494129
5,CD36,0.09625105187296867
6,P2RY12,0.08785391598939896
7,PLEK,0.07897729612886906
8,PAX3,0.07474137842655182
9,CA12,0.07408711952822544
10,EGR1,0.06924661401754773
11,EYA1,0.06761573384108105
12,TNFRSF1B,0.06665990092911322
13,CCL3,0.0642733057339987
14,AGMO,0.06284021205372281
15,COL4A1,0.05969702652077269
16,CH25H,0.05820491413275397
17,COL8A1,0.0566877067089081
18,BMPER,0.055549273959227985
19,CD53,0.05552441494332416
20,MS4A4E,0.05389627814292908
21,RGS1,0.05327702082436658
22,KYNU,0.052005786200364446
23,NFATC2,0.050537031621505024
24,TBXAS1,0.05009143427014351
25,KCNE4,0.04970250692632461
26,CENPF,0.04952248281393301
27,IGFBP5,0.048816593547161946
28,CMKLR1,0.04824044058720267
29,CYBA,0.046457835119453395
30,ANKFN1,0.04355504801779081
