rank,gene,score
1,KCNK1,0.7355898022651672
2,PDE1A,0.7283058166503906
3,SORBS2,0.7236841917037964
4,GPR39,0.7218498587608337
5,PTPRT,0.7205876310666403
6,SEZ6L,0.7147206664085388
7,RGS4,0.7127451300621033
8,SHROOM3,0.7058035731315613
9,C12orf42,0.7012711763381958
10,ZNF804B,0.7000670433044434
11,COL21A1,0.6999399065971375
12,HAPLN2,0.6974489688873291
13,OPALIN,0.6970290243625641
14,IGFBP5,0.6967213153839111
15,UNC13C,0.6955745816230774
16,SORCS3,0.6948099136352539
17,ABCB1,0.6895565986633301
18,ZIC1,0.6886729001998901
19,CD36,0.6885204315185547
20,RASGRF2,0.686734676361084
21,ZNF385D,0.6858974695205688
22,ADM,0.6842705309391022
23,PPP1R3C,0.6839028596878052
24,GALNT14,0.6805555820465088
25,NOX4,0.6774016618728638
26,MMP16,0.6757904589176178
27,POU6F2,0.6754807829856873
28,DGKB,0.6699089109897614
29,SLC7A11,0.6694755554199219
30,LIPG,0.6693925261497498
31,EPHA7,0.6691052714983622
32,PDGFD,0.6687158346176147
33,SHISA9,0.6673640012741089
34,SCN9A,0.6647958755493164
35,RERGL,0.6636690497398376
36,SPOCD1,0.6631944179534912
37,LYZ,0.6618377566337585
38,BBOX1,0.6612261533737183
39,SEMA3E,0.6607142686843872
40,AGBL1,0.6605228185653687
41,RPH3A,0.6604167222976685
42,MEIS2,0.6603261232376099
43,BOC,0.6590908765792847
44,KCNJ3,0.6575926343599955
45,ID3,0.657436728477478
46,COBLL1,0.6565934419631958
47,SH3GL2,0.6564009189605713
48,CALCRL,0.6561135053634644
49,ST6GALNAC5,0.6558716297149658
50,KCTD16,0.6556490063667297
51,ELOVL7,0.6555369198322296
52,PCSK6,0.6535714864730835
53,CELF4,0.6517857313156128
54,KCNMB4,0.651494562625885
55,LRRC63,0.6496285200119019
56,SNCAIP,0.6492132842540741
57,ABI3BP,0.6491213440895081
58,KCNT2,0.6486014127731323
59,PAX3,0.6483253836631775
60,DNAH7,0.6480362415313721
61,FNTB,0.6465549767017365
62,ADCY1,0.6463232338428497
63,GEM,0.6457758925177834
64,ARMC3,0.6453329026699066
65,ANXA1,0.6426533261934916
66,VWC2L,0.6410098075866699
67,ATP10A,0.6382783651351929
68,CHST8,0.6344501972198486
69,VWC2,0.6321499943733215
70,AMPH,0.631155252456665
71,POLQ,0.630892276763916
72,CA10,0.6300366520881653
73,SAMD5,0.63002809882164
74,CDH12,0.6292539437611898
75,PLCXD3,0.6281958103179932
76,FRK,0.6278061270713806
77,GADD45G,0.6269083619117737
78,THSD7A,0.6264619827270508
79,TMEM178A,0.6261086463928223
80,MT1H,0.6257764101028442
81,GABBR2,0.6245861053466797
82,HSPB8,0.6243899067242941
83,CEND1,0.623641312122345
84,F5,0.622649610042572
85,SLC16A10,0.6216317415237427
86,BMPER,0.6205363273620605
87,TRDN,0.619107723236084
88,ARHGAP28,0.6164089441299438
89,GRM5,0.6162167668342591
90,TOX3,0.6149266958236694
91,TUBB4B,0.6142668724060059
92,ITGA2,0.6129807829856873
93,KCNS3,0.6113636493682861
94,MOAP1,0.6108765453100204
95,DLGAP1,0.6098793029785157
96,SERPINI2,0.6086753606796265
97,SCN1A,0.6076194445292155
98,FAP,0.6075830289295742
99,EPB41L4A,0.6065292358398438
100,EGF,0.6061564981937408
101,GRAMD1C,0.6057407855987549
102,CP,0.6040161947409312
103,ZNF98,0.602173924446106
104,PLCB4,0.6020208597183228
105,FAT3,0.6020051042238871
106,DEPDC1B,0.6017786264419556
107,ENPP6,0.6016483306884766
108,BRINP3,0.6012247800827026
109,GAS2,0.6007326245307922
110,THY1,0.6000258028507233
111,RSPO2,0.5996634662151337
112,ADAMTS19,0.5995025038719177
113,LAMA4,0.5991949439048767
114,SYNPO2,0.5989208221435547
115,RYR3,0.5984617273012797
116,EYA1,0.5981857776641846
117,KANK4,0.5975274443626404
118,SNTG1,0.5974665284156799
119,INA,0.5966836214065552
120,SNED1,0.5960682034492493
121,TTN,0.5927500128746033
122,SEL1L3,0.5921174585819244
123,ANTXR1,0.5906121492385864
124,RBPMS,0.5887304469943047
125,ATP8A2,0.5885959506034851
126,PAPPA2,0.5874069035053253
127,CPS1,0.5873161554336548
128,NAP1L5,0.586670458316803
129,ACTN2,0.5860806107521057
130,ADCY8,0.5826547145843506
131,ADAMTS12,0.5826149582862854
132,CRISPLD1,0.5811258554458618
133,CDH4,0.5800395607948303
134,MMD2,0.5792755385239919
135,HIF3A,0.5789117515087128
136,CDHR3,0.5788390785455704
137,SEMA3C,0.5769230723381042
138,RET,0.5758909185727438
139,CPXM2,0.5754571656386057
140,NSG2,0.5749759078025818
141,MAG,0.5742248892784119
142,RARB,0.5731596946716309
143,HS3ST2,0.5723957419395447
144,NWD1,0.5717731416225433
145,PDE3A,0.5711809396743774
146,LRAT,0.5710431337356567
147,EPHA4,0.5700718909502029
148,SVEP1,0.5688475072383881
149,USH1C,0.5677631497383118
150,CACNA1B,0.56419837474823
151,MPPED2,0.562714159488678
152,CHST2,0.5625
153,AQP1,0.5621130019426346
154,ANLN,0.5597934126853943
155,DCHS2,0.5591814517974854
156,LDB3,0.5572344064712524
157,KLHL29,0.5556801160176595
158,LYPD6,0.555232584476471
159,LRRIQ3,0.5528314709663391
160,LGR5,0.5521731376647949
161,ANKRD7,0.5517241358757019
162,PNMA8A,0.5510890732208887
163,GMPR,0.5488326027989388
164,TNC,0.5487742125988007
165,NOL4,0.5483129024505615
166,TMEM132B,0.5473160147666931
167,SYNJ2,0.5472399989763895
