cell_index,leiden
0,0
1,1
2,0
3,0
4,0
5,0
6,0
7,2
8,3
9,0
10,0
11,0
12,0
13,0
14,1
15,2
16,1
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,1
44,0
45,0
46,1
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,1
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,2
70,2
71,0
72,0
73,0
74,0
75,0
76,1
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,1
87,0
88,0
89,0
90,0
91,0
92,1
93,4
94,0
95,2
96,0
97,0
98,0
99,0
100,2
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,2
111,0
112,1
113,0
114,1
115,0
116,3
117,0
118,0
119,0
120,3
121,0
122,0
123,0
124,4
125,0
126,0
127,1
128,1
129,4
130,4
131,0
132,0
133,0
134,0
135,0
136,3
137,0
138,1
139,1
140,1
141,1
142,1
143,0
144,1
145,1
146,1
147,0
148,1
149,1
150,0
151,1
152,0
153,0
154,1
155,0
156,0
157,1
158,1
159,1
160,0
161,0
162,1
163,0
164,1
165,1
166,1
167,0
168,4
169,1
170,0
171,1
172,3
173,0
174,0
175,1
176,1
177,0
178,0
179,0
180,1
181,1
182,1
183,0
184,1
185,1
186,0
187,2
188,1
189,0
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,2
198,1
199,0
200,0
201,1
202,1
203,2
204,0
205,1
206,1
207,1
208,0
209,1
210,0
211,1
212,1
213,0
214,0
215,0
216,1
217,0
218,5
219,4
220,0
221,0
222,0
223,1
224,0
225,1
226,1
227,1
228,1
229,1
230,1
231,0
232,1
233,1
234,1
235,1
236,1
237,1
238,0
239,1
240,1
241,1
242,0
243,1
244,0
245,4
246,0
247,1
248,1
249,0
250,1
251,0
252,0
253,1
254,1
255,0
256,1
257,1
258,0
259,4
260,3
261,1
262,0
263,1
264,0
265,1
266,1
267,1
268,0
269,0
270,0
271,0
272,2
273,0
274,1
275,1
276,1
277,1
278,0
279,1
280,4
281,0
282,0
283,1
284,0
285,0
286,1
287,0
288,1
289,0
290,0
291,0
292,1
293,0
294,0
295,0
296,0
297,1
298,1
299,3
300,1
301,1
302,0
303,0
304,1
305,1
306,0
307,1
308,0
309,1
310,0
311,0
312,0
313,0
314,0
315,1
316,0
317,1
318,1
319,0
320,0
321,0
322,1
323,0
324,4
325,1
326,1
327,4
328,0
329,0
330,1
331,1
332,0
333,1
334,0
335,1
336,1
337,1
338,0
339,3
340,2
341,1
342,1
343,1
344,0
345,0
346,1
347,0
348,0
349,1
350,0
351,1
352,1
353,0
354,1
355,1
356,1
357,1
358,1
359,0
360,0
361,0
362,1
363,0
364,1
365,2
366,0
367,1
368,1
369,1
370,1
371,0
372,0
373,0
374,1
375,0
376,0
377,1
378,1
379,0
380,1
381,0
382,0
383,1
384,4
385,0
386,1
387,1
388,0
389,1
390,1
391,1
392,0
393,2
394,1
395,0
396,4
397,3
398,1
399,3
400,1
401,0
402,5
403,1
404,0
405,0
406,0
407,1
408,0
409,1
410,1
411,1
412,0
413,0
414,1
415,4
416,0
417,1
418,1
419,0
420,0
421,0
422,0
423,1
424,1
425,0
426,2
427,0
428,1
429,3
430,2
431,1
432,1
433,0
434,1
435,1
436,0
437,0
438,1
439,1
440,2
441,1
442,0
443,0
444,1
445,0
446,1
447,3
448,1
449,1
450,0
451,0
452,0
453,1
454,3
455,1
456,2
457,1
458,1
459,0
460,1
461,1
462,0
463,0
464,1
465,0
466,1
467,1
468,0
469,0
470,1
471,1
472,3
473,1
474,0
475,0
476,0
477,1
478,1
479,1
480,0
481,1
482,0
483,3
484,0
485,4
486,1
487,1
488,2
489,1
490,1
491,1
492,1
493,1
494,1
495,0
496,0
497,0
498,0
499,0
500,4
501,1
502,0
503,0
504,0
505,0
506,1
507,2
508,1
509,0
510,0
511,1
512,1
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,1
524,1
525,1
526,0
527,1
528,0
529,2
530,0
531,0
532,0
533,0
534,0
535,1
536,0
537,1
538,0
539,0
540,1
541,1
542,1
543,1
544,0
545,0
546,0
547,1
548,0
549,1
550,0
551,0
552,0
553,0
554,1
555,0
556,1
557,2
558,1
559,4
560,0
561,1
562,1
563,1
564,0
565,0
566,1
567,1
568,1
569,0
570,0
571,3
572,1
573,0
574,0
575,1
576,0
577,0
578,0
579,0
580,0
581,2
582,1
583,1
584,1
585,0
586,1
587,1
588,0
589,0
590,1
591,0
592,0
593,1
594,1
595,0
596,0
597,2
598,2
599,0
600,0
601,0
602,0
603,0
604,0
605,2
606,1
607,0
608,1
609,0
610,1
611,3
612,1
613,1
614,0
615,0
616,0
617,1
618,2
619,0
620,1
621,0
622,1
623,1
624,2
625,0
626,0
627,0
628,4
629,1
630,0
631,0
632,1
633,1
634,0
635,0
636,0
637,4
638,1
639,1
640,1
641,1
642,1
643,1
644,0
645,0
646,1
647,0
648,1
649,1
650,0
651,1
652,0
653,1
654,1
655,1
656,3
657,1
658,0
659,1
660,2
661,3
662,0
663,0
664,1
665,1
666,0
667,4
668,1
669,1
670,0
671,0
672,0
673,0
674,1
675,0
676,1
677,0
678,1
679,1
680,0
681,4
682,0
683,0
684,0
685,1
686,0
687,0
688,3
689,3
690,0
691,0
692,4
693,1
694,1
695,1
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,2
716,0
717,0
718,0
719,0
720,0
721,0
722,2
723,2
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,1
732,0
733,0
734,0
735,0
736,0
737,1
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,3
746,0
747,0
748,1
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,2
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,1
772,1
773,0
774,0
775,0
776,0
777,1
778,0
779,3
780,0
781,3
782,3
783,1
784,0
785,2
786,0
787,4
788,0
789,0
790,0
791,1
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,1
801,0
802,2
803,0
804,0
805,1
806,2
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,1
820,0
821,0
822,1
823,0
824,0
825,0
826,0
827,0
828,0
829,1
830,0
831,0
832,3
833,0
834,0
835,0
836,1
837,1
838,1
839,1
840,1
841,1
842,0
843,1
844,0
845,0
846,0
847,0
848,1
849,0
850,1
851,1
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,3
862,0
863,0
864,0
865,1
866,0
867,5
868,1
869,0
870,0
871,1
872,0
873,1
874,0
875,0
876,0
877,0
878,0
879,1
880,1
881,0
882,0
883,1
884,0
885,1
886,0
887,1
888,1
889,0
890,1
891,0
892,0
893,1
894,0
895,0
896,0
897,0
898,0
899,0
900,1
901,0
902,1
903,0
904,0
905,3
906,1
907,1
908,1
909,1
910,0
911,0
912,2
913,4
914,1
915,0
916,0
917,0
918,0
919,0
920,0
921,1
922,0
923,2
924,1
925,3
926,0
927,1
928,0
929,0
930,1
931,1
932,1
933,1
934,0
935,0
936,0
937,1
938,0
939,0
940,1
941,0
942,0
943,0
944,0
945,1
946,0
947,1
948,1
949,0
950,2
951,0
952,0
953,0
954,1
955,0
956,1
957,0
958,1
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,1
967,0
968,1
969,2
970,1
971,0
972,0
973,4
974,0
975,2
976,1
977,0
978,0
979,1
980,0
981,3
982,1
983,0
984,0
985,0
986,1
987,0
988,1
989,0
990,0
991,0
992,0
993,0
994,0
995,3
996,0
997,0
998,0
999,2
1000,1
1001,1
1002,0
1003,1
1004,0
1005,2
1006,1
1007,1
1008,0
1009,1
1010,2
1011,0
1012,1
1013,2
1014,0
1015,0
1016,1
1017,1
1018,0
1019,0
1020,1
1021,2
1022,0
1023,0
1024,0
1025,0
1026,1
1027,0
1028,0
1029,1
1030,0
1031,0
1032,0
1033,1
1034,0
1035,1
1036,0
1037,1
1038,1
1039,1
1040,1
1041,0
1042,0
1043,1
1044,1
1045,2
1046,2
1047,2
1048,2
1049,2
1050,2
1051,0
1052,2
1053,2
1054,0
1055,1
1056,2
1057,2
1058,2
1059,2
