rank,gene,score
1,GEM,0.08101385029462671
2,LAMA4,0.07930392548441889
3,SLCO1C1,0.07824928547449161
4,CH25H,0.07258772769646515
5,SPOCD1,0.07156462967395782
6,IGFBP7,0.06989515875171992
7,C1orf87,0.061803363263607025
8,NXPH1,0.06080218037716645
9,CD83,0.05906173715200713
10,ARHGAP28,0.05596244441611431
11,RGS6,0.054412832503529796
12,IL1B,0.05351456104969571
13,TMC1,0.05293975323438638
14,VCAN,0.05240360398625077
15,SLC24A3,0.0509963647224182
16,DEPDC1B,0.0493536472320556
17,ANGPTL4,0.049217444064930005
18,PPARGC1A,0.04839487842151102
19,SEL1L3,0.04817363417616077
20,FRMPD2,0.04812729129424459
21,SERPINI2,0.047463427165178596
22,PAK5,0.04744585394859313
23,CCDC85A,0.04739442534083682
24,EMP1,0.04539652986694942
25,ALDH1L1,0.045201328290159826
26,EYA1,0.044735386967659
27,LAMA1,0.0441194514898543
28,TNFAIP3,0.04302558570656201
29,ANGPT1,0.042270814147616464
30,GALNT15,0.0419056890946824
