rank,gene,score
1,CYP4F12,0.7367187738418579
2,CD163,0.6910919547080994
3,CCL4,0.6753472089767456
4,MSRB3,0.674825131893158
5,MAFB,0.6683333516120911
6,RBPMS,0.6629294653733572
7,ATP10A,0.6623263955116272
8,CARD11,0.6621212363243103
9,PTCHD4,0.6529850959777832
10,CD69,0.6528925895690918
11,KYNU,0.6448863744735718
12,ADAMTSL3,0.643478274345398
13,EPB41L4A,0.6350255310535431
14,SIGLEC1,0.6296403259038925
15,GPR183,0.6292991638183594
16,LRRK1,0.6221264600753784
17,STAB1,0.6195652484893799
18,TRPC4,0.6146449446678162
19,ITGA4,0.6128286719322205
20,C12orf42,0.6128140240907669
21,ANKFN1,0.603515625
22,TSHZ3,0.60326087474823
23,LY86,0.603081226348877
24,ANXA1,0.6013157367706299
25,KCNK13,0.5919811129570007
26,KLHL6,0.5916149020195007
27,CARMIL1,0.5887850522994995
28,SEL1L3,0.5886194109916687
29,EMP1,0.5871283113956451
30,CSF3R,0.5801357924938202
31,SERPINI2,0.578125
32,EGF,0.5773049592971802
33,CD86,0.5771313409010569
34,SERPINE1,0.5764356032013893
35,PLA2G7,0.5724606762329737
36,FPR3,0.5708090364933014
37,ITGAX,0.5678621927897135
38,HCK,0.5668604373931885
39,ARHGAP25,0.565664067864418
40,CCL2,0.563811182975769
41,OTULINL,0.5586445132891337
42,VGF,0.5584170818328857
43,SLCO1C1,0.5579710006713867
44,COL4A1,0.5574663877487183
45,VAV3,0.5570123940706253
46,SYT6,0.5542168617248535
47,SEMA3D,0.5513016879558563
48,CA10,0.5505433082580566
49,LYZ,0.5487374663352966
50,BOC,0.548701286315918
51,RCSD1,0.5436076819896698
52,FGD2,0.5388513207435608
53,MS4A6A,0.536339282989502
54,IRF8,0.5340001980463663
55,LIPG,0.5335570573806763
56,CLEC5A,0.5276916325092316
57,MS4A4E,0.5276845693588257
58,GNG2,0.5274003684520722
59,S100Z,0.5216458439826965
60,PRELID2,0.5163551568984985
61,TNFRSF11B,0.5124631722768148
62,MX2,0.5044601857662201
63,ADAMTS9,0.49085113406181335
64,DNAH5,0.4892241358757019
65,C1orf87,0.4828869104385376
66,PLA2G4A,0.48138296604156494
67,FGL1,0.4810786843299866
68,CPED1,0.4708206593990326
69,IFI44L,0.4677070379257202
70,LGR6,0.46666666865348816
71,IL15,0.46299999952316284
72,HTR7,0.4624776691198349
73,HES1,0.4604027047753334
74,COL8A1,0.45777028799057007
75,CRISPLD1,0.4561011791229248
76,COL18A1,0.455078125
77,RASL12,0.447093923886617
78,RHOJ,0.4391261637210846
79,WDFY4,0.43715083599090576
80,TGFBI,0.4266360104084015
81,MARCO,0.4114963710308075
82,HAMP,0.4085570275783539
83,IGFBP5,0.40045127272605896
84,ABCC3,0.3838912308216095
85,FNTB,0.36647725105285645
86,GALNT18,0.36529359221458435
87,DGKG,0.35486947993437445
88,COL4A2,0.32680025696754456
89,GPAT3,0.30762651562690735
90,RGS20,0.30397728085517883
91,TCF7L1,0.3025362193584442
92,WIPF3,0.2772302955389023
93,ADGRG6,0.26675675312678016
94,GPRIN3,0.26219693074623746
95,EGR1,0.25324928760528564
96,TPD52L1,0.24636399745941162
97,TOGARAM2,0.24538737535476685
98,HS3ST4,0.244388389090697
99,SLC8A3,0.24260307020611233
100,FLI1,0.2422873775164286
101,HS3ST2,0.24101045727729797
102,KCNE1,0.23255650401115419
103,PCED1B,0.22998882995711434
104,PSMA1,0.2267647683620453
105,FLT1,0.22482211887836456
106,RNF19A,0.22048751413822176
107,SH3GL2,0.21673283800482745
108,NKAIN2,0.21044074930250645
109,RGS10,0.20940520167350773
110,KIF26B,0.20830297221740085
111,PDGFD,0.2082570840915044
112,RGS16,0.2078014329860085
113,SCIN,0.2065476030111313
114,SGCD,0.20637206733226776
115,ADAMTS12,0.20600614303516018
116,ADM,0.20479669625108887
117,TBXAS1,0.2028474509716034
118,FMN1,0.20283104596300605
119,PCDH15,0.19987979345023632
120,SORCS3,0.19978493452072144
121,CMKLR1,0.19847339391708374
122,ALK,0.19719593226909637
123,RERGL,0.19572986000114012
124,GPR39,0.1903548613190651
125,AQP4,0.18745561310073783
126,TRPM2,0.18422807256380713
127,TTC29,0.17936393916606908
128,LRRC3B,0.17615562677383423
129,GRIK2,0.175022029876709
130,VEGFA,0.17481115460395813
131,KCNN3,0.17221977561712265
132,PDGFC,0.1720683238513413
133,SYNDIG1,0.1699121849877494
134,KCNE4,0.16937921494245528
135,CENPF,0.1678235772110167
136,HMOX1,0.16779295206069944
137,EPSTI1,0.1675894558429718
138,GMPR,0.16696429252624512
139,TNIK,0.16564389318227768
140,TENM4,0.16469331298555645
141,YAP1,0.16444780826568606
142,LHFPL2,0.16351059079170227
143,CDH12,0.163100928068161
144,TTN,0.1627533808350563
145,MEF2C,0.16256289308269822
146,STUM,0.16109884977340694
147,TNFAIP8,0.16100017750073997
148,ARHGAP20,0.15878880769014359
149,ANGPT1,0.1577431162198385
150,FRMD3,0.15737412778431914
151,IGF1,0.15471461415290833
152,CNDP1,0.15394669026136398
153,RGMA,0.15366149031453663
154,GHR,0.15135500715537503
155,EPHA4,0.14988774061203003
156,FRMD4A,0.14870566725730894
157,LRFN5,0.1486105347673098
158,LDB2,0.1475640897239957
159,VWC2,0.14465884102715387
160,LGI1,0.1432176140638498
161,THSD7B,0.14321303980218036
162,GEM,0.14199012517929077
163,LRRIQ3,0.1419665504779134
164,LRP2,0.14141443371772766
165,CNTNAP5,0.14015859907323663
166,CA12,0.13858137130737302
167,PCSK6,0.1383572774274009
168,HS6ST3,0.13565695037444436
169,COBLL1,0.13563796877861023
170,FOS,0.13540210632177502
171,WDR49,0.13532276948293048
172,PLCH1,0.13523393472035727
173,INPP5D,0.1349809616804123
174,RBM47,0.13422755400339764
175,POU2F2,0.13409531414508824
176,CTSC,0.1328004172870091
177,SLC39A12,0.13260254512230557
178,IRAK3,0.13251245447567528
179,SLC14A1,0.13249379396438604
180,ANO4,0.13188619567797732
181,MEF2A,0.13173719247182214
182,FRMPD2,0.13171204179525375
183,COLEC12,0.13140687380324712
184,SLC25A21,0.13131133501346293
185,TMEM130,0.13124696165323257
186,PPP1R3C,0.1305883377790451
187,AGBL1,0.1296518385410309
188,COL5A3,0.1293870210647583
189,CD14,0.12931552529335022
190,FOXP2,0.12927095592021942
191,POLQ,0.1280074289866856
192,F5,0.12529607713222501
193,BICC1,0.124507847845513
194,ST8SIA1,0.12373418889262455
195,SEMA3E,0.12368506259388401
196,HS3ST5,0.12324638664722443
197,SPOCD1,0.12276850853647503
198,ANKRD7,0.12193546749827872
199,ANXA6,0.12178826897429074
200,KCNS3,0.12171117067337034
201,ZDHHC20,0.1214685504851134
202,PRDM6,0.12139471979702221
203,TMTC1,0.12139128645261132
204,LRRC7,0.12027592398226261
205,ANTXR1,0.11979292333126068
206,MGST1,0.11912555524281093
207,ARHGAP28,0.11904897987842555
208,BAALC,0.11896898224949837
209,EBF1,0.11833012352387107
210,BBOX1,0.11784625053405762
211,MMD2,0.11748717876679116
212,EGLN3,0.11722251772880554
213,BNC2,0.117102097381245
214,RANBP3L,0.1170885686363492
215,PDZRN3,0.11641606698919849
216,TAC1,0.11613214855844334
217,SAMSN1,0.11583434045314789
218,RGS6,0.1157903531479762
219,RGS1,0.11571555435657499
220,GNB4,0.1155361533164978
221,KCNQ5,0.1142677275310301
222,ETS2,0.11392218470573423
223,SV2B,0.11379614540418281
224,CD96,0.11320810914039614
225,KBTBD12,0.11186187267303471
226,EYA1,0.1115492656826973
227,MAP3K8,0.11081382632255554
228,TMEM163,0.10873708128929138
229,FGF14,0.10855413873990372
230,BASP1,0.10851628246654776
231,LRRK2,0.10836247205734251
232,TOX,0.10712410261233651
233,KSR2,0.1068032830953598
234,ADAMTS18,0.10658688315130488
235,NRG1,0.10515774356889296
236,GABRG2,0.10511888861656188
237,NRSN1,0.10476729273796082
238,NAMPT,0.10466819459741761
239,SGCZ,0.10420097197805134
240,AIF1,0.10385653277238216
241,FAM149A,0.10334214568138123
242,CCL3,0.10331091284751892
243,SKAP2,0.1031126874414357
244,SUSD1,0.10154729336500168
245,LCP2,0.10091704428195958
246,SRGN,0.10086811298415777
247,ABLIM1,0.10046923086047177
248,CCDC85A,0.10039470818909724
249,DNAH7,0.10037719830870628
250,ARMC3,0.10024802454056281
251,PALLD,0.10020221024751663
252,LHFPL6,0.10015695045391715
253,PRRX1,0.1000601314008236
254,PIP5K1B,0.10004932309190434
255,CCSER1,0.09993022680282593
256,LRRC63,0.09985038638114929
257,MDGA2,0.09904073625802995
258,DNAH14,0.09882283210754395
259,LAPTM5,0.09854588657617569
260,IL1RAP,0.09835603357314798
261,CHI3L1,0.0982405965717939
262,INPP4B,0.09765539020299907
263,NXPH1,0.09689498220079684
264,SLC16A10,0.09664139151573181
265,SCN9A,0.09607999599896944
266,EFNA5,0.0948163608709971
267,SEMA3C,0.09454445044199622
268,TIMP3,0.0941661207212342
269,FCGR3A,0.09369970932602878
270,CACNB4,0.09334094768417056
271,CSF1R,0.09326977531115216
272,SOX6,0.0931925487959826
273,SHISA9,0.09312211473782861
274,MACROD2,0.0929025930387003
275,TMEM51,0.09286544720331824
276,C3,0.09273087571967731
277,EPHB1,0.09250297231806648
278,SLC8A1,0.0918680479886328
279,FCGR2A,0.09186262488365171
280,SYNJ2,0.09171970685323078
281,OLFM3,0.09149708066667828
282,EPHA6,0.09122931533584411
283,OPCML,0.09110183532076677
284,PIK3AP1,0.09092268347740173
285,GRM5,0.09079575729675782
286,RYR2,0.09073047475381335
287,SHROOM3,0.09059544584967877
288,RBMS3,0.09056180184707047
289,UNC13C,0.0904300963986513
290,LAMA4,0.08991799503564835
291,PPARGC1A,0.08979937434196472
292,KCND2,0.0894394351376428
293,CACNB2,0.08924719194571173
294,CADPS2,0.08884371208247321
295,TNFRSF21,0.08869290103514987
296,F3,0.08855264385541278
297,PRKCH,0.08801586925983429
298,MERTK,0.08795429811333172
299,LAMA1,0.0876321662556041
300,SULF1,0.08751589059829712
301,PLCL1,0.08747583925724034
302,OSBPL3,0.08743026952783606
303,DPP10,0.08679248522870586
304,GLDN,0.08645747601985931
305,CFAP54,0.08613609960850549
306,ZSCAN31,0.08602977851957394
307,DPYSL3,0.08594630544002235
308,KCNMA1,0.08588024975443043
309,NRP1,0.0857812804835183
310,TNC,0.08501141766707099
311,ITGBL1,0.08499886068232326
312,EGFR,0.08486492062608397
313,NETO2,0.08446311105413051
314,CLEC7A,0.08403104543685913
315,DLK1,0.08349702649173285
316,CNTNAP2,0.08347420596650668
317,SPARCL1,0.08347086085455857
318,BMPR1B,0.08345840871334076
319,RGS7,0.08325395722474371
