cell_index,leiden
0,2
1,0
2,0
3,1
4,2
5,5
6,5
7,1
8,0
9,2
10,4
11,4
12,4
13,5
14,1
15,1
16,1
17,0
18,0
19,0
20,5
21,3
22,1
23,3
24,2
25,0
26,4
27,2
28,4
29,0
30,0
31,1
32,0
33,1
34,0
35,3
36,1
37,1
38,0
39,0
40,0
41,2
42,4
43,2
44,1
45,1
46,2
47,1
48,0
49,4
50,0
51,0
52,1
53,1
54,6
55,2
56,2
57,1
58,2
59,1
60,4
61,1
62,3
63,1
64,2
65,4
66,2
67,0
68,6
69,1
70,3
71,1
72,1
73,0
74,2
75,1
76,1
77,4
78,0
79,2
80,1
81,2
82,1
83,3
84,4
85,1
86,1
87,1
88,0
89,5
90,2
91,2
92,1
93,0
94,2
95,0
96,0
97,0
98,1
99,1
100,2
101,2
102,2
103,1
104,0
105,1
106,0
107,0
108,3
109,3
110,0
111,1
112,2
113,0
114,1
115,4
116,5
117,5
118,1
119,2
120,1
121,1
122,1
123,0
124,1
125,1
126,0
127,5
128,0
129,1
130,1
131,3
132,0
133,2
134,0
135,5
136,0
137,3
138,5
139,5
140,2
141,3
142,1
143,1
144,1
145,2
146,3
147,1
148,2
149,0
150,0
151,0
152,2
153,1
154,5
155,4
156,5
157,1
158,0
159,5
160,4
161,2
162,2
163,2
164,0
165,1
166,0
167,1
168,0
169,2
170,1
171,1
172,3
173,0
174,1
175,0
176,0
177,4
178,2
179,3
180,1
181,0
182,1
183,3
184,1
185,1
186,1
187,1
188,1
189,4
190,2
191,0
192,0
193,4
194,0
195,0
196,0
197,0
198,3
199,0
200,2
201,4
202,2
203,2
204,2
205,0
206,2
207,0
208,0
209,0
210,2
211,0
212,3
213,3
214,0
215,5
216,0
217,2
218,0
219,4
220,5
221,2
222,1
223,4
224,3
225,1
226,3
227,2
228,0
229,0
230,0
231,2
232,0
233,2
234,0
235,2
236,1
237,1
238,1
239,0
240,2
241,4
242,1
243,0
244,0
245,2
246,2
247,0
248,0
249,3
250,2
251,4
252,2
253,1
254,1
255,0
256,2
257,4
258,2
259,1
260,0
261,0
262,0
263,2
264,1
265,2
266,1
267,0
268,1
269,4
270,3
271,2
272,0
273,0
274,0
275,2
276,1
277,2
278,0
279,2
280,1
281,1
282,0
283,5
284,1
285,2
286,1
287,4
288,4
289,4
290,2
291,0
292,1
293,3
294,4
295,3
296,1
297,1
298,0
299,2
300,4
301,1
302,0
303,3
304,1
305,2
306,1
307,2
308,0
309,2
310,2
311,5
312,1
313,1
314,2
315,1
316,1
317,0
318,0
319,1
320,0
321,0
322,4
323,2
324,3
325,1
326,2
327,2
328,1
329,4
330,4
331,1
332,3
333,1
334,2
335,4
336,2
337,4
338,3
339,3
340,3
341,2
342,0
343,4
344,4
345,5
346,4
347,2
348,2
349,4
350,2
351,5
352,2
353,4
354,1
355,0
356,0
357,0
358,2
359,1
360,2
361,2
362,3
363,3
364,0
365,2
366,2
367,1
368,1
369,3
370,4
371,2
372,0
373,2
374,1
375,2
376,3
377,2
378,3
379,2
380,1
381,2
382,2
383,2
384,4
385,2
386,2
387,4
388,2
389,2
390,2
391,4
392,2
393,3
394,1
395,2
396,1
397,3
398,2
399,1
400,0
401,2
402,1
403,4
404,4
405,1
406,1
407,2
408,1
409,3
410,1
411,2
412,2
413,2
414,2
415,4
416,1
417,2
418,2
419,2
420,2
421,1
422,1
423,2
424,2
425,0
426,2
427,2
428,1
429,1
430,2
431,1
432,4
433,2
434,0
435,3
436,2
437,2
438,1
439,1
440,1
441,1
442,1
443,2
444,1
445,2
446,4
447,2
448,2
449,4
450,1
451,2
452,1
453,2
454,2
455,2
456,1
457,4
458,1
459,1
460,4
461,2
462,1
463,1
464,2
465,0
466,2
467,0
468,2
469,2
470,4
471,3
472,4
473,3
474,1
475,3
476,1
477,2
478,1
479,2
480,1
481,2
482,1
483,2
484,4
485,2
486,3
487,2
488,3
489,1
490,4
491,3
492,3
493,2
494,4
495,3
496,2
497,4
498,2
499,2
500,1
501,2
502,2
503,3
504,2
505,3
506,1
507,0
508,2
509,2
510,3
511,1
512,2
513,1
514,0
515,2
516,2
517,3
518,1
519,4
520,2
521,1
522,2
523,4
524,2
525,2
526,0
527,1
528,3
529,1
530,0
531,2
532,4
533,1
534,4
535,2
536,2
537,1
538,0
539,3
540,2
541,0
542,1
543,4
544,2
545,0
546,1
547,0
548,0
549,1
550,2
551,2
552,4
553,1
554,2
555,3
556,2
557,4
558,2
559,2
560,1
561,1
562,1
563,2
564,2
565,2
566,1
567,1
568,2
569,2
570,2
571,1
572,2
573,2
574,2
575,2
576,5
577,2
578,2
579,2
580,2
581,1
582,4
583,2
584,2
585,3
586,2
587,4
588,4
589,2
590,0
591,1
592,1
593,0
594,3
595,1
596,2
597,1
598,2
599,3
600,2
601,2
602,2
603,2
604,2
605,4
606,1
607,4
608,3
609,3
610,2
611,2
612,2
613,2
614,2
615,2
616,2
617,4
618,3
619,1
620,2
621,2
622,2
623,2
624,4
625,4
626,2
627,2
628,4
629,1
630,5
631,2
632,4
633,2
634,2
635,1
636,3
637,3
638,1
639,1
640,3
641,1
642,2
643,3
644,3
645,1
646,4
647,4
648,1
649,1
650,1
651,2
652,2
653,2
654,2
655,2
656,2
657,1
658,1
659,0
660,3
661,2
662,2
663,1
664,2
665,4
666,4
667,1
668,2
669,2
670,3
671,2
672,2
673,3
674,4
675,2
676,1
677,1
678,1
679,4
680,0
681,2
682,4
683,0
684,3
685,3
686,1
687,2
688,2
689,1
690,1
691,2
692,1
693,2
694,2
695,2
696,0
697,2
698,3
699,0
700,1
701,2
702,2
703,2
704,1
705,2
706,3
707,4
708,4
709,1
710,2
711,4
712,2
713,2
714,3
715,1
716,1
717,2
718,2
719,2
720,4
721,0
722,4
723,0
724,0
725,2
726,2
727,2
728,1
729,1
730,2
731,2
732,2
733,2
734,1
735,1
736,4
737,1
738,1
739,2
740,4
741,5
742,1
743,2
744,4
745,4
746,2
747,3
748,4
749,2
750,1
751,3
752,2
753,2
754,2
755,3
756,2
757,1
758,2
759,1
760,0
761,0
762,1
763,0
764,4
765,4
766,2
767,2
768,1
769,2
770,2
771,1
772,3
773,1
774,3
775,2
776,1
777,2
778,3
779,1
780,4
781,2
782,1
783,2
784,1
785,4
786,1
787,1
788,1
789,2
790,1
791,4
792,3
793,1
794,1
795,2
796,1
797,2
798,3
799,2
800,1
801,4
802,4
803,1
804,1
805,2
806,2
807,0
808,2
809,1
810,1
811,3
812,4
813,3
814,4
815,1
816,2
817,2
818,0
819,1
820,2
821,2
822,2
823,4
824,2
825,2
826,1
827,1
828,2
829,1
830,4
831,5
832,2
833,1
834,2
835,1
836,4
837,2
838,2
839,0
840,1
841,4
842,2
843,1
844,4
845,4
846,2
847,1
848,1
849,0
850,0
851,1
852,4
853,3
854,0
855,1
856,0
857,1
858,0
859,3
860,3
861,3
862,3
863,0
864,0
865,0
866,0
867,0
868,0
869,3
870,0
871,1
872,0
873,3
874,1
875,0
876,0
877,0
878,3
879,0
880,0
881,0
882,0
883,0
884,0
885,1
886,0
887,0
888,0
889,0
890,1
891,1
892,0
893,1
894,2
895,1
896,0
897,0
898,0
899,1
900,0
901,1
902,4
903,1
904,1
905,2
906,0
907,0
908,3
909,2
910,0
911,1
912,1
913,2
914,2
915,0
916,0
917,3
918,0
919,0
920,1
921,1
922,0
923,0
924,0
925,0
926,1
927,1
928,0
929,3
930,3
931,0
932,1
933,0
934,1
935,0
936,0
937,0
938,2
939,0
940,0
941,5
942,0
943,1
944,4
945,2
946,4
947,0
948,1
949,0
950,0
951,0
952,2
953,1
954,3
955,0
956,0
957,0
958,0
959,1
960,0
961,1
962,4
963,2
964,0
965,0
966,0
967,0
968,1
969,1
970,2
971,0
972,4
973,3
974,1
975,3
976,1
977,0
978,0
979,1
980,1
981,1
982,1
983,0
984,2
985,0
986,0
987,1
988,3
989,0
990,1
991,1
992,1
993,0
994,1
995,1
996,0
997,0
998,3
999,1
1000,0
1001,3
1002,1
1003,0
1004,3
1005,0
1006,0
1007,1
1008,1
1009,3
1010,3
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,2
1018,0
1019,1
1020,0
1021,1
1022,1
1023,0
1024,0
1025,1
1026,0
1027,0
1028,0
1029,2
1030,3
1031,0
1032,0
1033,1
1034,0
1035,0
1036,1
1037,1
1038,0
1039,0
1040,3
1041,1
1042,0
1043,0
1044,3
1045,0
1046,0
1047,1
1048,1
1049,0
1050,4
1051,2
1052,1
1053,1
1054,5
1055,0
1056,1
1057,0
1058,2
1059,2
1060,1
1061,5
1062,3
1063,0
1064,4
1065,0
1066,5
1067,0
1068,0
1069,0
1070,0
1071,4
1072,2
1073,0
1074,0
1075,0
1076,0
1077,5
1078,4
1079,5
1080,4
1081,2
1082,0
1083,0
1084,4
1085,1
1086,4
1087,1
1088,4
1089,3
1090,0
1091,4
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,0
1099,2
1100,1
1101,4
1102,3
1103,0
1104,4
1105,0
1106,1
1107,0
1108,2
1109,2
1110,4
1111,1
1112,4
1113,4
1114,1
1115,0
1116,1
1117,5
1118,3
1119,3
1120,4
1121,0
1122,5
1123,1
1124,1
1125,2
1126,1
1127,1
1128,5
1129,0
1130,0
1131,4
1132,1
1133,0
1134,4
1135,4
1136,2
1137,0
1138,0
1139,1
1140,0
1141,2
1142,5
1143,1
1144,2
1145,0
1146,2
1147,2
1148,0
1149,2
1150,2
1151,4
1152,0
1153,6
1154,4
1155,1
1156,0
1157,0
