rank,gene,score
1,CCL4,0.1933880050977071
2,ITGA4,0.16994431005282828
3,MARCO,0.1058694223562876
4,FGL1,0.07809945565837251
5,CCL3,0.06276432531220572
6,F5,0.06251361411110112
7,HES1,0.06027486719291608
8,SLC16A10,0.05934327034787701
9,RBMS3,0.05557885420041053
10,BICC1,0.05319167132135949
11,NRP1,0.052459191000126526
12,ACSBG1,0.05103394574471293
13,SYT1,0.04957661047176798
14,CENPF,0.04944774596354906
15,CD69,0.049223252910154836
16,KCNJ3,0.04812337591937854
17,CALY,0.04647011587518379
18,KCNQ5,0.04627400366669032
19,STMN2,0.04620726584394119
20,VAV3,0.04535162027274803
21,NRG3,0.04525917608846142
22,RGS1,0.04504630276651095
23,THSD7B,0.04428366136741757
24,GABRB2,0.04416667755751602
25,NRG1,0.04388739620111626
26,STAB1,0.04382607402900851
27,GAP43,0.04347547415476727
28,ELAVL2,0.043435971054757716
29,LRRC3B,0.04337803689934261
30,SAMD5,0.04261250275941131
