source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0051240,positive regulation of multicellular organismal process,3.307684978235151e-06,True,"""Any process that activates or increases the frequency, rate or extent of an organismal process, any of the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai]",1270,27,14,16180,0.5185185185185185,0.011023622047244094,query_1,"['GO:0032501', 'GO:0048518', 'GO:0051239']"
GO:BP,GO:0051239,regulation of multicellular organismal process,0.0007964082349278951,True,"""Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai, GOC:dph, GOC:tb]",2293,27,15,16180,0.5555555555555556,0.0065416484954208464,query_1,"['GO:0032501', 'GO:0050789']"
GO:CC,GO:0030141,secretory granule,0.0010789651447972142,True,"""A small subcellular vesicle, surrounded by a membrane, that is formed from the Golgi apparatus and contains a highly concentrated protein destined for secretion. Secretory granules move towards the periphery of the cell and upon stimulation, their membranes fuse with the cell membrane, and their protein load is exteriorized. Processing of the contained protein may take place in secretory granules."" [GOC:mah, ISBN:0198506732]",785,30,9,17154,0.3,0.011464968152866241,query_1,"['GO:0012505', 'GO:0099503']"
REAC,REAC:R-HSA-6783783,Interleukin-10 signaling,0.0012996435266887237,True,Interleukin-10 signaling,45,27,4,11056,0.14814814814814814,0.08888888888888889,query_1,['REAC:R-HSA-449147']
GO:CC,GO:0070821,tertiary granule membrane,0.0015380703435476694,True,"""The lipid bilayer surrounding a tertiary granule."" [GOC:BHF, GOC:mah, GOC:rl, PMID:12070036]",72,30,4,17154,0.13333333333333333,0.05555555555555555,query_1,"['GO:0030667', 'GO:0070820']"
GO:CC,GO:0070820,tertiary granule,0.0018304265788405749,True,"""A secretory granule that contains cathepsin and gelatinase and is readily exocytosed upon cell activation; found primarily in mature neutrophil cells."" [GOC:BHF, GOC:mah, GOC:rl, PMID:12070036]",163,30,5,17154,0.16666666666666666,0.03067484662576687,query_1,['GO:0030141']
GO:CC,GO:0099503,secretory vesicle,0.0034661891430387134,True,"""A cytoplasmic, membrane bound vesicle that is capable of fusing to the plasma membrane to release its contents into the extracellular space."" [GOC:dos]",907,30,9,17154,0.3,0.009922822491730982,query_1,['GO:0031410']
GO:CC,GO:0005576,extracellular region,0.0037317756474679023,True,"""The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."" [GOC:go_curators]",3564,30,17,17154,0.5666666666666667,0.004769921436588103,query_1,['GO:0110165']
GO:BP,GO:0032501,multicellular organismal process,0.0038442768934698907,True,"""Any biological process, occurring at the level of a multicellular organism, pertinent to its function."" [GOC:curators, GOC:dph, GOC:isa_complete, GOC:tb]",5389,27,21,16180,0.7777777777777778,0.0038968268695490815,query_1,['GO:0008150']
GO:BP,GO:0042063,gliogenesis,0.006293594338455474,True,"""The process that results in the generation of glial cells. This includes the production of glial progenitors and their differentiation into mature glia."" [GOC:dgh, GOC:jid]",151,27,5,16180,0.18518518518518517,0.033112582781456956,query_1,['GO:0022008']
KEGG,KEGG:04620,Toll-like receptor signaling pathway,0.007283624766158346,True,Toll-like receptor signaling pathway,107,21,4,8716,0.19047619047619047,0.037383177570093455,query_1,['KEGG:00000']
GO:BP,GO:0001775,cell activation,0.008626377956844393,True,"""A multicellular organismal process by which exposure to an activating factor such as a cellular or soluble ligand results in a change in the morphology or behavior of a cell."" [GOC:mgi_curators]",857,27,9,16180,0.3333333333333333,0.010501750291715286,query_1,"['GO:0009987', 'GO:0032501']"
GO:MF,GO:0031730,CCR5 chemokine receptor binding,0.009134715945874611,True,"""Binding to a CCR5 chemokine receptor."" [GOC:mah, GOC:nln]",5,28,2,17354,0.07142857142857142,0.4,query_1,['GO:0048020']
GO:BP,GO:0050867,positive regulation of cell activation,0.010395538040239759,True,"""Any process that activates or increases the frequency, rate or extent of activation."" [GOC:ai]",295,27,6,16180,0.2222222222222222,0.020338983050847456,query_1,"['GO:0001775', 'GO:0048522', 'GO:0050865', 'GO:0051240']"
GO:MF,GO:0031726,CCR1 chemokine receptor binding,0.013688389945356098,True,"""Binding to a CCR1 chemokine receptor."" [GOC:mah, GOC:nln]",6,28,2,17354,0.07142857142857142,0.3333333333333333,query_1,['GO:0048020']
GO:BP,GO:0014015,positive regulation of gliogenesis,0.014586309015555882,True,"""Any process that activates or increases the frequency, rate or extent of gliogenesis, the formation of mature glia."" [GOC:ef]",26,27,3,16180,0.1111111111111111,0.11538461538461539,query_1,"['GO:0014013', 'GO:0042063', 'GO:0050769']"
GO:BP,GO:0050865,regulation of cell activation,0.014649263173755775,True,"""Any process that modulates the frequency, rate or extent of cell activation, the change in the morphology or behavior of a cell resulting from exposure to an activating factor such as a cellular or soluble ligand."" [GOC:ai]",482,27,7,16180,0.25925925925925924,0.014522821576763486,query_1,"['GO:0001775', 'GO:0050794', 'GO:0051239']"
GO:CC,GO:0031410,cytoplasmic vesicle,0.016575277543753646,True,"""A vesicle found in the cytoplasm of a cell."" [GOC:ai, GOC:mah, GOC:vesicles]",2021,30,12,17154,0.4,0.005937654626422563,query_1,"['GO:0005737', 'GO:0097708']"
GO:CC,GO:0097708,intracellular vesicle,0.01690182606138308,True,"""Any vesicle that is part of the intracellular region."" [GOC:vesicles]",2025,30,12,17154,0.4,0.005925925925925926,query_1,"['GO:0031982', 'GO:0043231']"
GO:CC,GO:0101003,ficolin-1-rich granule membrane,0.03299689575692091,True,"""The lipid bilayer surrounding a ficolin-1-rich granule."" [GOC:mec, PMID:23650620]",60,30,3,17154,0.1,0.05,query_1,"['GO:0030667', 'GO:0070820', 'GO:0101002']"
GO:BP,GO:0070487,monocyte aggregation,0.03713056901014038,True,"""The adhesion of one monocyte to one or more other monocytes via adhesion molecules."" [GOC:sl, PMID:12972508]",5,27,2,16180,0.07407407407407407,0.4,query_1,['GO:0070486']
GO:BP,GO:2000503,positive regulation of natural killer cell chemotaxis,0.03713056901014038,True,"""Any process that activates or increases the frequency, rate or extent of natural killer cell chemotaxis."" [GOC:BHF]",5,27,2,16180,0.07407407407407407,0.4,query_1,"['GO:0035747', 'GO:0140131', 'GO:2000501']"
GO:BP,GO:0045685,regulation of glial cell differentiation,0.04306042326604117,True,"""Any process that modulates the frequency, rate or extent of glia cell differentiation."" [GOC:go_curators]",37,27,3,16180,0.1111111111111111,0.08108108108108109,query_1,"['GO:0010001', 'GO:0045595']"
GO:BP,GO:0051241,negative regulation of multicellular organismal process,0.04975138066975126,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of an organismal process, the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai]",809,27,8,16180,0.2962962962962963,0.009888751545117428,query_1,"['GO:0032501', 'GO:0048519', 'GO:0051239']"
