cell_type,method,gene,ontology,annotated
astrocytes,attention_zero_shot,NR4A3,BP,True
astrocytes,attention_zero_shot,PLA2G4A,BP,True
astrocytes,attention_zero_shot,CR1,BP,True
astrocytes,attention_zero_shot,CEBPD,BP,True
astrocytes,attention_zero_shot,ITGA4,BP,True
astrocytes,attention_zero_shot,MX2,BP,True
astrocytes,attention_zero_shot,GFRA1,BP,True
astrocytes,attention_zero_shot,ANKRD22,BP,False
astrocytes,attention_zero_shot,CD69,BP,True
astrocytes,attention_zero_shot,ST8SIA4,BP,True
astrocytes,attention_zero_shot,CD163,BP,True
astrocytes,attention_zero_shot,MS4A4E,BP,False
astrocytes,attention_zero_shot,OLR1,BP,True
astrocytes,attention_zero_shot,ID2,BP,True
astrocytes,attention_zero_shot,CSF3R,BP,True
astrocytes,attention_zero_shot,TUBB2B,BP,True
astrocytes,attention_zero_shot,CD86,BP,True
astrocytes,attention_zero_shot,ADM,BP,True
astrocytes,attention_zero_shot,ANGPTL4,BP,True
astrocytes,attention_zero_shot,HES1,BP,True
astrocytes,attention_zero_shot,ID3,BP,True
astrocytes,attention_zero_shot,IFI44L,BP,True
astrocytes,attention_zero_shot,F13A1,BP,True
astrocytes,attention_zero_shot,CMKLR1,BP,True
astrocytes,attention_zero_shot,HSP90AA1,BP,True
astrocytes,attention_zero_shot,EPSTI1,BP,False
astrocytes,attention_zero_shot,KYNU,BP,True
astrocytes,attention_zero_shot,MT1M,BP,True
astrocytes,attention_zero_shot,CPA6,BP,True
astrocytes,attention_zero_shot,ABCA9,BP,True
astrocytes,ig_lora,AHCYL1,BP,True
astrocytes,ig_lora,CCL4,BP,True
astrocytes,ig_lora,ETNPPL,BP,True
astrocytes,ig_lora,CCL3,BP,True
astrocytes,ig_lora,CD163,BP,True
astrocytes,ig_lora,HES1,BP,True
astrocytes,ig_lora,FCGR2A,BP,True
astrocytes,ig_lora,ATP10A,BP,True
astrocytes,ig_lora,ADM,BP,True
astrocytes,ig_lora,SLC2A3,BP,True
astrocytes,ig_lora,OPALIN,BP,True
astrocytes,ig_lora,ID2,BP,True
astrocytes,ig_lora,HBB,BP,True
astrocytes,ig_lora,MS4A4A,BP,False
astrocytes,ig_lora,ATP6V0D2,BP,True
astrocytes,ig_lora,GLDN,BP,True
astrocytes,ig_lora,ADGRG6,BP,True
astrocytes,ig_lora,ID3,BP,True
astrocytes,ig_lora,SPP1,BP,True
astrocytes,ig_lora,SPOCD1,BP,True
astrocytes,ig_lora,RGS1,BP,True
astrocytes,ig_lora,TRDN,BP,True
astrocytes,ig_lora,ANGPTL4,BP,True
astrocytes,ig_lora,PPP1R3C,BP,True
astrocytes,ig_lora,NR4A3,BP,True
astrocytes,ig_lora,CEBPD,BP,True
astrocytes,ig_lora,DUSP1,BP,True
astrocytes,ig_lora,CHI3L1,BP,True
astrocytes,ig_lora,GADD45G,BP,True
astrocytes,ig_lora,F13A1,BP,True
da_neurons,attention_zero_shot,CYP4F12,BP,True
da_neurons,attention_zero_shot,CCL4,BP,True
da_neurons,attention_zero_shot,IL1B,BP,True
da_neurons,attention_zero_shot,GPR183,BP,True
da_neurons,attention_zero_shot,P2RY12,BP,True
da_neurons,attention_zero_shot,CH25H,BP,True
da_neurons,attention_zero_shot,CD69,BP,True
da_neurons,attention_zero_shot,F13A1,BP,True
da_neurons,attention_zero_shot,ARHGAP28,BP,True
da_neurons,attention_zero_shot,PAX3,BP,True
da_neurons,attention_zero_shot,GLI3,BP,True
da_neurons,attention_zero_shot,PLAC8,BP,True
da_neurons,attention_zero_shot,CD163,BP,True
da_neurons,attention_zero_shot,RHOJ,BP,True
da_neurons,attention_zero_shot,CPED1,BP,False
da_neurons,attention_zero_shot,THSD7B,BP,True
da_neurons,attention_zero_shot,SLCO1C1,BP,True
da_neurons,attention_zero_shot,CA12,BP,True
da_neurons,attention_zero_shot,PRDM6,BP,True
da_neurons,attention_zero_shot,KYNU,BP,True
da_neurons,attention_zero_shot,CENPF,BP,True
da_neurons,attention_zero_shot,BMPER,BP,True
da_neurons,attention_zero_shot,RGS1,BP,True
da_neurons,attention_zero_shot,KCNE4,BP,True
da_neurons,attention_zero_shot,COL27A1,BP,True
da_neurons,attention_zero_shot,HCK,BP,True
da_neurons,attention_zero_shot,ARMC3,BP,True
da_neurons,attention_zero_shot,SNCAIP,BP,True
da_neurons,attention_zero_shot,THEMIS,BP,True
da_neurons,attention_zero_shot,TBXAS1,BP,True
da_neurons,ig_lora,ETNPPL,BP,True
da_neurons,ig_lora,CD163,BP,True
da_neurons,ig_lora,ANGPTL4,BP,True
da_neurons,ig_lora,PLEK,BP,True
da_neurons,ig_lora,IL1B,BP,True
da_neurons,ig_lora,SRGN,BP,True
da_neurons,ig_lora,GALNT15,BP,True
da_neurons,ig_lora,ID3,BP,True
da_neurons,ig_lora,GLDN,BP,True
da_neurons,ig_lora,SPOCD1,BP,True
da_neurons,ig_lora,MS4A4A,BP,False
da_neurons,ig_lora,GADD45G,BP,True
da_neurons,ig_lora,OLR1,BP,True
da_neurons,ig_lora,PPP1R3C,BP,True
da_neurons,ig_lora,ADM,BP,True
da_neurons,ig_lora,CLEC5A,BP,True
da_neurons,ig_lora,HES1,BP,True
da_neurons,ig_lora,ID2,BP,True
da_neurons,ig_lora,TYK2,BP,True
da_neurons,ig_lora,MND1,BP,True
da_neurons,ig_lora,CCL3,BP,True
da_neurons,ig_lora,OPALIN,BP,True
da_neurons,ig_lora,SVEP1,BP,True
da_neurons,ig_lora,DUSP1,BP,True
da_neurons,ig_lora,AHCYL1,BP,True
da_neurons,ig_lora,COL27A1,BP,True
da_neurons,ig_lora,CH25H,BP,True
da_neurons,ig_lora,SERPINE1,BP,True
da_neurons,ig_lora,PPP1R14A,BP,True
da_neurons,ig_lora,CLEC7A,BP,True
microglia,attention_zero_shot,GEM,BP,True
microglia,attention_zero_shot,LAMA4,BP,True
microglia,attention_zero_shot,SLCO1C1,BP,True
microglia,attention_zero_shot,CH25H,BP,True
microglia,attention_zero_shot,SPOCD1,BP,True
microglia,attention_zero_shot,IGFBP7,BP,True
microglia,attention_zero_shot,C1orf87,BP,False
microglia,attention_zero_shot,NXPH1,BP,True
microglia,attention_zero_shot,CD83,BP,True
microglia,attention_zero_shot,ARHGAP28,BP,True
microglia,attention_zero_shot,RGS6,BP,True
microglia,attention_zero_shot,IL1B,BP,True
microglia,attention_zero_shot,TMC1,BP,True
microglia,attention_zero_shot,VCAN,BP,True
microglia,attention_zero_shot,SLC24A3,BP,True
microglia,attention_zero_shot,DEPDC1B,BP,True
microglia,attention_zero_shot,ANGPTL4,BP,True
microglia,attention_zero_shot,PPARGC1A,BP,True
microglia,attention_zero_shot,SEL1L3,BP,False
microglia,attention_zero_shot,FRMPD2,BP,True
microglia,attention_zero_shot,SERPINI2,BP,False
microglia,attention_zero_shot,PAK5,BP,True
microglia,attention_zero_shot,CCDC85A,BP,False
microglia,attention_zero_shot,EMP1,BP,True
microglia,attention_zero_shot,ALDH1L1,BP,True
microglia,attention_zero_shot,EYA1,BP,True
microglia,attention_zero_shot,LAMA1,BP,True
microglia,attention_zero_shot,TNFAIP3,BP,True
microglia,attention_zero_shot,ANGPT1,BP,True
microglia,attention_zero_shot,GALNT15,BP,True
microglia,ig_lora,MS4A4A,BP,False
