cell_type,disease,distance,ontology,method,scope,n_genes,n_annotated,n_ref_genes,mean,median,std,max,skew,p10,p25,p75,p90,p95,bestmatch_mean,bestmatch_median,bestmatch_max
astrocytes,parkinson,lin,BP,attention_zero_shot,all,30,27,184,0.15016047458623444,0.1261801186345355,0.13755703219162121,1.0,0.9739138965109146,0.0,0.030250124239324515,0.23322954031368145,0.33935271932245353,0.4161991500190899,0.5283084787028206,0.5670666258550452,1.0
astrocytes,parkinson,lin,BP,attention_zero_shot,annotated,27,27,184,0.16684497176248272,0.14558858805456765,0.1350579508998867,1.0,0.9235311377341273,0.012855980405268988,0.05045554767826341,0.2462592791717035,0.3531728385980871,0.4266872234880927,0.5870094207809118,0.5721429089093405,1.0
astrocytes,parkinson,lin,BP,ig_lora,all,30,28,184,0.16052511322000826,0.1371519046031685,0.13255211443318568,1.0,0.8649648426076767,0.0,0.049567517229020384,0.2433122886565587,0.3467264157068266,0.4124645910157171,0.5278839360770371,0.5606151366402264,1.0
astrocytes,parkinson,lin,BP,ig_lora,annotated,28,28,184,0.17199119273572314,0.14925153268452107,0.1298191158947928,1.0,0.8559070742232469,0.01958196726519909,0.07048809666264197,0.2523497334802529,0.35268098615159865,0.4176762715930455,0.5655899315111113,0.564040522009505,1.0
astrocytes,parkinson,lin,BP,all_methods,all,60,55,184,0.15534279390312133,0.132930697933383,0.13517713011652419,1.0,0.9166510820532304,0.0,0.03725024624226633,0.23777656216152482,0.3431094330648869,0.41369567531118,0.5280962073899288,0.564040522009505,1.0
astrocytes,parkinson,lin,BP,all_methods,annotated,55,55,184,0.1694648660761324,0.14828877179405953,0.13244179933217728,1.0,0.8888234105572979,0.016646592794637798,0.06150703380370288,0.2496186136541522,0.352997396580769,0.42129676921194764,0.576104953516286,0.567944297124102,1.0
da_neurons,parkinson,lin,BP,attention_zero_shot,all,30,29,184,0.1728826977486821,0.1515115905233773,0.1387040151383186,0.7867142145261345,0.7819961789593782,0.0,0.055454365830936325,0.25953358935259346,0.37185953699568725,0.43843263246115105,0.5693274602095677,0.5728717932729931,0.7867142145261345
da_neurons,parkinson,lin,BP,attention_zero_shot,annotated,29,29,184,0.17884417008484355,0.15901028726996147,0.13724443985519685,0.7867142145261345,0.7735782476826888,0.016938631389247727,0.06604861319004168,0.2640925763828283,0.37424075959186853,0.4407587551931404,0.5889594415961045,0.5762799463261752,0.7867142145261345
da_neurons,parkinson,lin,BP,ig_lora,all,30,29,184,0.16046650855346573,0.14205800053916795,0.12910024754609747,0.7317857888340911,0.8130251921954852,0.00709401664408883,0.04843645638711676,0.24035949311925786,0.336791104091349,0.4024168983429811,0.5299159148790121,0.5532155436197017,0.7317857888340911
da_neurons,parkinson,lin,BP,ig_lora,annotated,29,29,184,0.1659998364346197,0.14891538453238565,0.12776173990469858,0.7317857888340911,0.8060831076826118,0.015438367219593971,0.0576176209680977,0.24508206219236675,0.340120015405499,0.40533248740515426,0.548188877461047,0.5542639651719198,0.7317857888340911
