reference,method,cell_type,go_source,distance,similarity
parkinson,attention_zero_shot,astrocytes,GO:BP,lin,0.4483654365068427
parkinson,attention_zero_shot,da_neurons,GO:BP,lin,0.4407004532899393
parkinson,attention_zero_shot,microglia,GO:BP,lin,0.44986077590575896
parkinson,attention_zero_shot,oligodendrocytes,GO:BP,lin,0.4667619022969173
parkinson,ig_lora,astrocytes,GO:BP,lin,0.43502140753339597
parkinson,ig_lora,da_neurons,GO:BP,lin,0.4254977378582797
parkinson,ig_lora,microglia,GO:BP,lin,0.43837943391004475
parkinson,ig_lora,oligodendrocytes,GO:BP,lin,0.42589170391133824
parkinson,attention_zero_shot,astrocytes,GO:BP,SimRel,0.41319715962824866
parkinson,attention_zero_shot,da_neurons,GO:BP,SimRel,0.40612829066046197
parkinson,attention_zero_shot,microglia,GO:BP,SimRel,0.4106824259009267
parkinson,attention_zero_shot,oligodendrocytes,GO:BP,SimRel,0.43373139458635174
parkinson,ig_lora,astrocytes,GO:BP,SimRel,0.3991269193326357
parkinson,ig_lora,da_neurons,GO:BP,SimRel,0.3892809336200909
parkinson,ig_lora,microglia,GO:BP,SimRel,0.40417829018626933
parkinson,ig_lora,oligodendrocytes,GO:BP,SimRel,0.3913026752800788
parkinson,attention_zero_shot,astrocytes,GO:BP,wang,0.3926613926418736
parkinson,attention_zero_shot,da_neurons,GO:BP,wang,0.3847491734380483
parkinson,attention_zero_shot,microglia,GO:BP,wang,0.4052342974308613
parkinson,attention_zero_shot,oligodendrocytes,GO:BP,wang,0.4058422486342849
parkinson,ig_lora,astrocytes,GO:BP,wang,0.38886495600544896
parkinson,ig_lora,da_neurons,GO:BP,wang,0.3755985727214167
parkinson,ig_lora,microglia,GO:BP,wang,0.3727935262685889
parkinson,ig_lora,oligodendrocytes,GO:BP,wang,0.37724191377944744
parkinson,attention_zero_shot,astrocytes,GO:CC,lin,0.7780900697109903
parkinson,attention_zero_shot,da_neurons,GO:CC,lin,0.7588455226376035
parkinson,attention_zero_shot,microglia,GO:CC,lin,0.7474723592766505
parkinson,attention_zero_shot,oligodendrocytes,GO:CC,lin,0.7677933169300492
parkinson,ig_lora,astrocytes,GO:CC,lin,0.7670265549159935
parkinson,ig_lora,da_neurons,GO:CC,lin,0.7681618946634772
parkinson,ig_lora,microglia,GO:CC,lin,0.7553720443876922
parkinson,ig_lora,oligodendrocytes,GO:CC,lin,0.7962094222554466
parkinson,attention_zero_shot,astrocytes,GO:CC,SimRel,0.6448516439895373
parkinson,attention_zero_shot,da_neurons,GO:CC,SimRel,0.6347280923269747
parkinson,attention_zero_shot,microglia,GO:CC,SimRel,0.6225255356230139
parkinson,attention_zero_shot,oligodendrocytes,GO:CC,SimRel,0.6470941141082093
parkinson,ig_lora,astrocytes,GO:CC,SimRel,0.6448074417717409
parkinson,ig_lora,da_neurons,GO:CC,SimRel,0.6437878341716875
parkinson,ig_lora,microglia,GO:CC,SimRel,0.6392533191928709
parkinson,ig_lora,oligodendrocytes,GO:CC,SimRel,0.6773407807861598
parkinson,attention_zero_shot,astrocytes,GO:CC,wang,0.8166489980389519
parkinson,attention_zero_shot,da_neurons,GO:CC,wang,0.8035789143400228
parkinson,attention_zero_shot,microglia,GO:CC,wang,0.782440489903938
parkinson,attention_zero_shot,oligodendrocytes,GO:CC,wang,0.8088870629775298
parkinson,ig_lora,astrocytes,GO:CC,wang,0.7995925799814209
parkinson,ig_lora,da_neurons,GO:CC,wang,0.8043603276902617
parkinson,ig_lora,microglia,GO:CC,wang,0.8010734168307708
parkinson,ig_lora,oligodendrocytes,GO:CC,wang,0.8256628575789273
parkinson,attention_zero_shot,astrocytes,GO:MF,lin,0.7598114680980248
parkinson,attention_zero_shot,da_neurons,GO:MF,lin,0.7859877074055598
parkinson,attention_zero_shot,microglia,GO:MF,lin,0.7959810592546601
parkinson,attention_zero_shot,oligodendrocytes,GO:MF,lin,0.7772684341675982
parkinson,ig_lora,astrocytes,GO:MF,lin,0.7787961501320594
parkinson,ig_lora,da_neurons,GO:MF,lin,0.7789436418951564
