rank,gene,score
1,AHCYL1,2.2549365004697903
2,ETNPPL,2.1495640712616253
3,CD163,2.1447982724223817
4,HES1,1.8922459860397225
5,ATP10A,1.8333655048673059
6,MS4A4A,1.8219309962458081
7,CCL4,1.752352748066187
8,ADM,1.7331379962629474
9,SLC2A3,1.6156074931359592
10,ID2,1.6110261133551016
11,HBB,1.5605120554373406
12,GLDN,1.547009042148082
13,ID3,1.5294469983275667
14,ATP6V0D2,1.5168880623397092
15,SPP1,1.5142833999018634
16,SPOCD1,1.4785569008025858
17,TRDN,1.464470418964861
18,CEBPD,1.4540148603253042
19,ANGPTL4,1.4326098088587038
20,DUSP1,1.4193120339165999
21,CHI3L1,1.3962478107174194
22,OPALIN,1.3907984082510918
23,PPP1R3C,1.384440879587648
24,F13A1,1.3756811329420062
25,NR4A3,1.327676438828828
26,COL27A1,1.2984104391312754
27,COL21A1,1.292708948622437
28,ADGRG6,1.2917622402310371
29,SV2C,1.2294110359672434
30,GADD45G,1.2272847368186197
