rank,gene,score
1,CD163,2.4951969884335994
2,ETNPPL,2.01067779055976
3,IL1B,1.8378465875983239
4,PLEK,1.6866268030833453
5,ANGPTL4,1.5833635089173912
6,GALNT15,1.5080341409469389
7,MS4A4A,1.4928511679172516
8,OLR1,1.4536845540084566
9,PPP1R3C,1.423028673135997
10,GADD45G,1.3869780874427626
11,ID3,1.3572434301097547
12,GLDN,1.2766626923112199
13,ADM,1.2335803958193428
14,SRGN,1.213441369725236
15,HES1,1.1909978913849797
16,CR1,1.1715803518891335
17,CCL3,1.1432897945245106
18,GEM,1.1239799320697785
19,ID2,1.116286077645878
20,OPALIN,1.101500140434062
21,CYP4F12,1.0614949067433674
22,SVEP1,1.0373789009518257
23,PPP1R14A,1.0039836874555073
24,APOC1,0.9967528300345406
25,COL27A1,0.9939718960473934
26,MX2,0.9914126191288233
27,AHCYL1,0.9656020305361143
28,TRDN,0.9569102711975574
29,RGS1,0.9270599021786644
30,CARD11,0.9235968866357298
