rank,gene,score
1,MS4A4A,1.9920850653450455
2,CD163,1.964407932665719
3,GLDN,1.9293232042589985
4,SVEP1,1.8537901887611952
5,CHI3L1,1.6980107557364346
6,SLC7A11,1.6653937080206915
7,COL21A1,1.5794841841338796
8,SLC2A3,1.5564771709765992
9,OLR1,1.5555498601676596
10,GAP43,1.5411369395341112
11,SV2C,1.5349828424638932
12,SLC39A12,1.5177926877415493
13,COL27A1,1.512161256227805
14,SERPINE1,1.4985317165577852
15,APOE,1.462824798380629
16,APOC1,1.407643189437618
17,CD83,1.4013949521151814
18,ATP6V0D2,1.3685860422750313
19,SNCG,1.3439020519817586
20,TPD52L1,1.3433293811558338
21,ID2,1.3038947414804438
22,SPP1,1.283299267403303
23,TNFRSF11B,1.279628582637802
24,INA,1.2700889954089225
25,SLC11A1,1.2696850224064151
26,GPAT3,1.268096543316662
27,ETNPPL,1.255648105879399
28,AQP4,1.2159396982626454
29,RANBP3L,1.2088395424356515
30,ID3,1.1797497793366867
