rank,gene,score
1,ID2,2.4421342018919083
2,HES1,1.8831281493539396
3,MS4A4A,1.848902985719698
4,CD163,1.8436411948580491
5,ETNPPL,1.797745395551391
6,PPP1R3C,1.7760446546810933
7,NR4A3,1.7271840022876859
8,ID3,1.5715950266458094
9,PLEK,1.5438731875662741
10,DUSP1,1.4808619089331656
11,ANGPTL4,1.372460443509925
12,CH25H,1.280856843705156
13,IL1B,1.2058327154893624
14,ADM,1.2054517016346966
15,SRGN,1.1771327932536437
16,ATP6V0D2,1.14157812679486
17,TYK2,1.1332072082053248
18,OLR1,1.122055857338839
19,CCL4,1.1217416827566922
20,SVEP1,1.117297891130312
21,HBB,1.1119277578431128
22,SLC2A3,1.104309948989527
23,AHCYL1,1.0995844558481134
24,OPALIN,1.057848827720168
25,LIPG,1.0497810559347271
26,PLAC8,1.0251444515685528
27,SELENOP,1.0014807421096865
28,SLC11A1,0.9721625413257806
29,CCL3,0.970639685025582
30,ITGAX,0.9666413691465872
